pitch_type,game_date,release_speed,pitcher,events,description,zone,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,inning,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,launch_speed_angle
CH,9/20/19,88.2,622491,field_out,hit_into_play,7,R,CIN,NYM,X,5,ground_ball,1,2,4,54,103.9,1.1,87.37,2098,5.694,4
FT,9/20/19,99.7,622491,field_out,hit_into_play,7,R,CIN,NYM,X,6,ground_ball,0,0,1,11,99.7,-8.7,97.342,2177,5.201,2
SI,9/18/19,92.2,622786,single,hit_into_play_no_out,8,R,COL,NYM,X,7,line_drive,0,1,8,267,106.9,11.5,92.426,2155,5.597,5
CU,9/18/19,75.6,656546,home_run,hit_into_play_score,2,R,COL,NYM,X,null,fly_ball,1,2,6,448,106.1,30.6,75.563,2533,5.671,6
CU,9/18/19,75.2,656546,field_out,hit_into_play,5,R,COL,NYM,X,3,ground_ball,3,2,1,5,73.9,-27.6,74.962,2578,6.108,2
SL,9/17/19,85.8,641149,single,hit_into_play_score,4,R,COL,NYM,X,3,popup,0,2,8,179,57.9,40.5,85.808,2449,5.855,1
FF,9/17/19,89.6,543532,home_run,hit_into_play_score,5,R,COL,NYM,X,null,fly_ball,3,0,6,467,110.2,32.8,90.35,1850,6.226,6
FF,9/17/19,89.8,543532,field_out,hit_into_play,6,R,COL,NYM,X,5,ground_ball,0,0,4,7,86.2,-18.6,91.274,1898,6.643,2
FF,9/17/19,91,543532,grounded_into_double_play,hit_into_play,9,R,COL,NYM,X,6,ground_ball,3,1,1,7,104.1,-15.9,93.235,2045,6.954,2
FF,9/16/19,99.5,608032,strikeout,swinging_strike,11,R,COL,NYM,S,2,null,1,2,8,null,null,null,99.889,2138,5.846,null
FF,9/16/19,92.2,622608,double,hit_into_play_no_out,12,R,COL,NYM,X,9,line_drive,0,1,6,279,110.2,11.4,92.956,2039,6.214,5
FF,9/16/19,92.2,622608,single,hit_into_play_no_out,2,R,COL,NYM,X,8,ground_ball,0,1,4,36,107.2,-2.7,93.863,2091,6.383,4
CU,9/16/19,79.3,622608,strikeout,swinging_strike_blocked,14,R,COL,NYM,S,2,null,1,2,2,null,null,null,78.654,2316,5.635,null
FC,9/15/19,94.5,445276,strikeout,swinging_strike,12,R,NYM,LAD,S,2,null,0,2,8,null,null,null,95.595,2555,6.815,null
FF,9/15/19,95.9,520980,field_out,hit_into_play,11,R,NYM,LAD,X,9,fly_ball,1,1,6,302,85.7,32.5,95.433,2333,6.157,3
